data,title
"[{'Distro_Version': 'current', 'Python_version': '2.7.13'}, {'Distro_Version': '8.0', 'Python_version': '2.7.11'}, {'Distro_Version': '7.9.6', 'Python_version': '2.7.10'}, {'Distro_Version': '7.4', 'Python_version': '2.7.5'}, {'Distro_Version': '7.2', 'Python_version': '2.7.3'}, {'Distro_Version': '7.0', 'Python_version': '2.6.6'}, {'Distro_Version': '6.4', 'Python_version': '2.6.4'}, {'Distro_Version': '6.2', 'Python_version': '2.6.2'}, {'Distro_Version': '6.0', 'Python_version': '2.6.1'}, {'Distro_Version': '5.2', 'Python_version': '2.5.2'}, {'Distro_Version': '5.0', 'Python_version': '2.5.1'}, {'Distro_Version': '4.8', 'Python_version': '2.5.1'}, {'Distro_Version': '4.6.1', 'Python_version': '2.5.1'}, {'Distro_Version': '3.0', 'Python_version': '2.4.3'}, {'Distro_Version': '2.8', 'Python_version': '2.4.3'}, {'Distro_Version': '1.3', 'Python_version': '2.4.1'}, {'Distro_Version': '0.4', 'Python_version': '2.4'}]",zenwalk
"[{'Distro_Version': '5.11-0.153', 'Python_version': '2.6.8'}]",xstreamos
"[{'Distro_Version': '17.04', 'Python_version': '2.7.13'}, {'Distro_Version': 'zesty', 'Python_version': '2.7.11'}, {'Distro_Version': '16.10', 'Python_version': '2.7.11'}, {'Distro_Version': 'yakkety', 'Python_version': '2.7.9'}, {'Distro_Version': '16.04', 'Python_version': '2.7.9'}, {'Distro_Version': 'xenial', 'Python_version': '2.7.8'}, {'Distro_Version': '15.10', 'Python_version': '2.7.5'}, {'Distro_Version': 'wily', 'Python_version': '2.7.5'}, {'Distro_Version': '15.04', 'Python_version': '2.7.4'}, {'Distro_Version': 'vivid', 'Python_version': '2.7.3'}, {'Distro_Version': '14.10', 'Python_version': '2.7.3'}, {'Distro_Version': 'utopic', 'Python_version': '2.7.2'}, {'Distro_Version': '14.04', 'Python_version': '2.7.1'}, {'Distro_Version': 'trusty', 'Python_version': '2.6.6'}, {'Distro_Version': '13.10', 'Python_version': '2.6.5'}, {'Distro_Version': 'saucy', 'Python_version': '2.6.4rc1'}, {'Distro_Version': '13.04', 'Python_version': '2.6.2'}, {'Distro_Version': 'raring', 'Python_version': '2.5.2'}, {'Distro_Version': '12.10', 'Python_version': '2.5.2'}, {'Distro_Version': 'quantal', 'Python_version': '2.5.1'}, {'Distro_Version': '12.04', 'Python_version': '2.5.1rc1'}, {'Distro_Version': 'precise', 'Python_version': '2.4.3'}, {'Distro_Version': '11.10', 'Python_version': '2.4.3'}]",xubuntu
"[{'Distro_Version': '5.0', 'Python_version': '2.7.11'}, {'Distro_Version': '4.2', 'Python_version': '2.7.5'}, {'Distro_Version': '4.0', 'Python_version': '2.7.5'}, {'Distro_Version': '3.4', 'Python_version': '2.7.5'}, {'Distro_Version': '3.0-2', 'Python_version': '2.7.3'}, {'Distro_Version': '2.3', 'Python_version': '2.7.2'}, {'Distro_Version': '2.2-2', 'Python_version': '2.6.5'}, {'Distro_Version': '2.0-4', 'Python_version': '2.6.5'}, {'Distro_Version': '1.5-1', 'Python_version': '2.6.5'}, {'Distro_Version': '1.4-2', 'Python_version': '2.5.2'}, {'Distro_Version': '1.2-1', 'Python_version': '2.4.5'}]",zentyal
"[{'Distro_Version': '0.95.7-3', 'Python_version': '2.7.9'}, {'Distro_Version': '0.95.6-2', 'Python_version': '2.7.3'}, {'Distro_Version': '2013.06.05', 'Python_version': '2.7.3'}]",wmlive
"[{'Distro_Version': '4.12', 'Python_version': '2.7.11'}, {'Distro_Version': '4.11.1', 'Python_version': '2.7.10'}, {'Distro_Version': '4.10', 'Python_version': '2.7.9'}, {'Distro_Version': '4.6', 'Python_version': '2.7.3'}, {'Distro_Version': '3.1', 'Python_version': '2.4.3'}]",wifislax
"[{'Distro_Version': '13.0.0.1.1', 'Python_version': '2.7.9'}, {'Distro_Version': '12.0.0.3.2', 'Python_version': '2.7.9'}]",whonix
"[{'Distro_Version': '35.1', 'Python_version': '2.7.9'}, {'Distro_Version': '33.1', 'Python_version': '2.7.9'}, {'Distro_Version': '27.1', 'Python_version': '2.7.3'}, {'Distro_Version': '23.0', 'Python_version': '--'}, {'Distro_Version': '16.0', 'Python_version': '--'}, {'Distro_Version': '11.2', 'Python_version': '--'}, {'Distro_Version': '10.2', 'Python_version': '--'}, {'Distro_Version': '9.0', 'Python_version': '--'}, {'Distro_Version': '8.5', 'Python_version': '2.6.6'}, {'Distro_Version': '7.2', 'Python_version': '--'}, {'Distro_Version': '6.2', 'Python_version': '2.5.2'}, {'Distro_Version': '5.9', 'Python_version': '2.5.2'}, {'Distro_Version': '4.9', 'Python_version': '2.5.2'}, {'Distro_Version': '3.5', 'Python_version': '2.5.2'}, {'Distro_Version': '2.39', 'Python_version': '2.4.5'}]",webconverger
"[{'Distro_Version': 'R10', 'Python_version': '2.7.11'}, {'Distro_Version': 'R9', 'Python_version': '2.7.5'}, {'Distro_Version': 'R8', 'Python_version': '2.7.6'}, {'Distro_Version': 'R7.5', 'Python_version': '2.7.4'}, {'Distro_Version': 'R7', 'Python_version': '2.7.4'}, {'Distro_Version': 'R6', 'Python_version': '2.7.3'}, {'Distro_Version': 'R5', 'Python_version': '2.7.2'}, {'Distro_Version': 'R4', 'Python_version': '2.7.1'}, {'Distro_Version': 'R3', 'Python_version': '2.6.6'}, {'Distro_Version': 'R2', 'Python_version': '2.6.5'}]",wattos
"[{'Distro_Version': '2.4', 'Python_version': '\xa0'}, {'Distro_Version': '2.3', 'Python_version': '2.7.5'}, {'Distro_Version': '2.2', 'Python_version': '2.7.3'}, {'Distro_Version': '1.10', 'Python_version': '2.7'}, {'Distro_Version': '1.5', 'Python_version': '2.6'}]",vortexbox
